query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairB_oneshot_s2:e7:p39,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p40,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p41,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p43,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p44,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p45,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p46,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p47,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p48,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p49,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p50,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p51,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p52,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p53,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p54,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p55,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p56,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p57,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p58,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p60,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p61,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p62,2,1,1,DEFER,,
pairB_oneshot_s2:e7:p63,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p0,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p1,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p2,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p3,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p4,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p5,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p6,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p7,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p8,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p9,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p10,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p11,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p12,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p14,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p15,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p17,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p18,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p19,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p21,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p23,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p25,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p26,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p27,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p30,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p31,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p32,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p33,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p34,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p35,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p36,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p37,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p38,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p39,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p40,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p41,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p43,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p44,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p45,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p46,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p47,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p48,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p49,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p50,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p51,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p52,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p53,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p54,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p55,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p56,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p57,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p58,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p60,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p61,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p62,2,1,1,DEFER,,
pairB_oneshot_s2:e8:p63,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p0,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p1,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p2,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p3,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p4,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p5,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p6,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p7,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p8,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p9,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p10,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p11,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p12,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p14,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p15,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p17,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p18,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p19,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p21,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p23,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p25,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p26,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p27,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p30,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p31,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p32,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p33,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p34,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p35,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p36,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p37,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p38,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p39,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p40,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p41,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p43,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p44,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p45,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p46,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p47,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p48,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p49,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p50,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p51,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p52,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p53,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p54,2,1,1,DEFER,,
pairB_oneshot_s2:e9:p55,2,1,1,DEFER,,
