arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,18,0.74836874,1,0.280359685,0
stale-soft,0,0,1,2,0.7144894,1,0.142378196,0
stale-soft,0,0,2,4,0.685745537,1,0.0801266953,0
stale-soft,0,0,3,28,0.6820544,1,0.0744245723,0
stale-soft,0,0,4,16,0.678639889,1,0.0695117861,0
stale-soft,0,0,5,29,0.673809588,1,0.0631106868,0
stale-soft,0,0,6,10,0.666241407,1,0.0542458631,0
stale-soft,0,0,7,12,0.640228629,1,0.0322420225,0
stale-soft,0,0,8,8,0.637787342,1,0.0307056122,0
stale-soft,0,0,9,24,0.636462212,1,0.0299025215,0
stale-soft,0,0,10,13,0.633606553,1,0.028242534,0
stale-soft,0,0,11,23,0.626307547,1,0.0244064946,0
stale-soft,0,0,12,26,0.620744944,1,0.0218368173,0
stale-soft,0,0,13,9,0.603828728,1,0.0155688627,0
stale-soft,0,0,14,14,0.596854448,1,0.0135418857,0
stale-soft,0,0,15,19,0.592501044,1,0.012412685,0
stale-soft,0,0,16,27,0.589198351,1,0.0116192782,0
stale-soft,0,0,17,20,0.582650304,1,0.0101930303,0
stale-soft,0,0,18,5,0.548716247,1,0.00517078117,0
stale-soft,0,0,19,21,0.518950582,0,0,0
stale-soft,0,1,0,27,0.874986529,1,0.496155649,0
stale-soft,0,1,1,8,0.805134773,1,0.122713707,0
stale-soft,0,1,2,20,0.798741639,1,0.107984871,0
stale-soft,0,1,3,24,0.778458178,1,0.0719752237,0
stale-soft,0,1,4,10,0.771186113,1,0.0622327141,0
stale-soft,0,1,5,4,0.759335279,1,0.0491002575,0
stale-soft,0,1,6,12,0.73813808,1,0.0321341641,0
stale-soft,0,1,7,18,0.727712214,1,0.0260860994,0
stale-soft,0,1,8,28,0.666161001,1,0.00761697162,0
stale-soft,0,1,9,2,0.662488341,1,0.00707753003,0
stale-soft,0,1,10,16,0.646162808,1,0.00510599092,0
stale-soft,0,1,11,19,0.635451436,1,0.0041213748,0
stale-soft,0,1,12,29,0.592656195,1,0.00175116677,0
stale-soft,0,1,13,26,0.591156602,1,0.0016994254,0
stale-soft,0,1,14,9,0.585992038,1,0.00153265207,0
stale-soft,0,1,15,22,0.580637634,1,0.00137700583,0
stale-soft,0,1,16,21,0.579092503,1,0.0013351033,0
stale-soft,0,1,17,13,0.512504578,0,0,0
stale-soft,0,1,18,5,0.470697582,0,0,0
stale-soft,0,1,19,23,0.467159957,0,0,0
stale-soft,0,2,0,28,0.687040806,1,0.281961203,0
stale-soft,0,2,1,29,0.676729858,1,0.229419172,0
stale-soft,0,2,2,21,0.665947139,1,0.184915021,0
stale-soft,0,2,3,23,0.627505362,1,0.0857177898,0
stale-soft,0,2,4,5,0.615164042,1,0.0669692904,0
stale-soft,0,2,5,2,0.580555141,1,0.0335171223,0
stale-soft,0,2,6,8,0.576069117,1,0.0306409001,0
stale-soft,0,2,7,24,0.568109393,1,0.0261314809,0
stale-soft,0,2,8,12,0.566404164,1,0.0252553094,0
stale-soft,0,2,9,18,0.550561786,1,0.0183970165,0
stale-soft,0,2,10,27,0.546835065,1,0.0170756634,0
stale-soft,0,2,11,20,0.53294158,0,0,0
stale-soft,0,2,12,9,0.515300393,0,0,0
stale-soft,0,2,13,11,0.507613301,0,0,0
stale-soft,0,2,14,4,0.499521464,0,0,0
stale-soft,0,2,15,16,0.49924773,0,0,0
stale-soft,0,2,16,1,0.488787681,0,0,0
stale-soft,0,2,17,13,0.486909628,0,0,0
stale-soft,0,2,18,26,0.486057848,0,0,0
stale-soft,0,2,19,14,0.475984395,0,0,0
stale-soft,0,3,0,8,0.78374058,1,0.252064347,0
stale-soft,0,3,1,13,0.775761366,1,0.21488443,0
stale-soft,0,3,2,2,0.774757743,1,0.21061407,0
stale-soft,0,3,3,18,0.719704986,1,0.0700334013,0
stale-soft,0,3,4,4,0.692781448,1,0.040874321,0
stale-soft,0,3,5,27,0.692674398,1,0.0407869034,0
stale-soft,0,3,6,21,0.692111969,1,0.0403306782,0
stale-soft,0,3,7,28,0.664177418,1,0.0230674241,0
stale-soft,0,3,8,10,0.657985449,1,0.0203805696,0
stale-soft,0,3,9,16,0.655747652,1,0.0194885302,0
stale-soft,0,3,10,9,0.637865484,1,0.0136287687,0
stale-soft,0,3,11,19,0.633182049,1,0.0124101415,0
stale-soft,0,3,12,20,0.620165586,1,0.00956570916,0
stale-soft,0,3,13,26,0.614248276,1,0.00849806517,0
stale-soft,0,3,14,24,0.608269334,1,0.00754027953,0
stale-soft,0,3,15,12,0.590542674,1,0.00528951222,0
stale-soft,0,3,16,23,0.563752592,1,0.00309542473,0
stale-soft,0,3,17,29,0.559211612,1,0.00282668555,0
stale-soft,0,3,18,14,0.550574899,1,0.00237826328,0
stale-soft,0,3,19,22,0.547635794,1,0.00224249461,0
stale-soft,0,4,0,27,0.853271723,1,0.267577767,0
stale-soft,0,4,1,8,0.841795504,1,0.21270062,0
stale-soft,0,4,2,18,0.806978106,1,0.106010631,0
stale-soft,0,4,3,20,0.791152894,1,0.077249065,0
stale-soft,0,4,4,24,0.784183145,1,0.0671977103,0
stale-soft,0,4,5,2,0.772640646,1,0.0533455163,0
stale-soft,0,4,6,10,0.77256918,1,0.0532693081,0
stale-soft,0,4,7,19,0.759746194,1,0.0412190333,0
stale-soft,0,4,8,12,0.739829659,1,0.0276761074,0
stale-soft,0,4,9,4,0.736176193,1,0.0257259663,0
stale-soft,0,4,10,16,0.716775775,1,0.0174526535,0
