arm,epoch,probe_index,rank,slot,sim,surviving,weight,decode
stale-soft,0,0,0,29,0.877626061,1,0.639133334,0
stale-soft,0,0,1,19,0.780072451,1,0.0908346996,0
stale-soft,0,0,2,11,0.747591615,1,0.0474380255,0
stale-soft,0,0,3,14,0.736161172,1,0.0377436057,0
stale-soft,0,0,4,9,0.717019677,1,0.0257384349,0
stale-soft,0,0,5,8,0.710978627,1,0.0228092112,0
stale-soft,0,0,6,12,0.709655285,1,0.0222134516,0
stale-soft,0,0,7,27,0.703998983,1,0.0198374633,0
stale-soft,0,0,8,17,0.703378201,1,0.0195926856,0
stale-soft,0,0,9,21,0.699995875,1,0.0183111355,0
stale-soft,0,0,10,3,0.69323349,1,0.015994776,0
stale-soft,0,0,11,15,0.686917305,1,0.014096668,0
stale-soft,0,0,12,18,0.67543,1,0.0112031223,0
stale-soft,0,0,13,10,0.667221487,1,0.0095069427,0
stale-soft,0,0,14,4,0.614676416,1,0.00332384044,0
stale-soft,0,0,15,30,0.594555199,1,0.00222264091,0
stale-soft,0,0,16,1,0.56831789,0,0,0
stale-soft,0,0,17,16,0.556302667,0,0,0
stale-soft,0,0,18,25,0.5549348,0,0,0
stale-soft,0,0,19,24,0.545926809,0,0,0
stale-soft,0,1,0,26,0.711235404,1,0.468874067,0
stale-soft,0,1,1,2,0.692322254,1,0.321202457,0
stale-soft,0,1,2,6,0.662277699,1,0.176122651,0
stale-soft,0,1,3,0,0.579742908,1,0.0338008106,0
stale-soft,0,1,4,28,0.556207359,0,0,0
stale-soft,0,1,5,13,0.539366663,0,0,0
stale-soft,0,1,6,5,0.527191341,0,0,0
stale-soft,0,1,7,20,0.420563906,0,0,0
stale-soft,0,1,8,7,0.390284121,0,0,0
stale-soft,0,1,9,27,0.376169443,0,0,0
stale-soft,0,1,10,1,0.363092721,0,0,0
stale-soft,0,1,11,24,0.360778034,0,0,0
stale-soft,0,1,12,11,0.327594876,0,0,0
stale-soft,0,1,13,8,0.327566594,0,0,0
stale-soft,0,1,14,14,0.324376225,0,0,0
stale-soft,0,1,15,15,0.322281003,0,0,0
stale-soft,0,1,16,23,0.295741707,0,0,0
stale-soft,0,1,17,3,0.292348206,0,0,0
stale-soft,0,1,18,21,0.288546115,0,0,0
stale-soft,0,1,19,30,0.286389172,0,0,0
stale-soft,0,3,0,26,0.687955379,1,0.422424167,0
stale-soft,0,3,1,28,0.671771407,1,0.3056162,0
stale-soft,0,3,2,0,0.649724901,1,0.196645111,0
stale-soft,0,3,3,13,0.601738572,1,0.0753145516,0
stale-soft,0,3,4,6,0.567316473,0,0,0
stale-soft,0,3,5,2,0.542343855,0,0,0
stale-soft,0,3,6,5,0.483870745,0,0,0
stale-soft,0,3,7,1,0.476877511,0,0,0
stale-soft,0,3,8,24,0.475862533,0,0,0
stale-soft,0,3,9,15,0.459832966,0,0,0
stale-soft,0,3,10,14,0.458524197,0,0,0
stale-soft,0,3,11,3,0.44065693,0,0,0
stale-soft,0,3,12,11,0.424954593,0,0,0
stale-soft,0,3,13,4,0.404513747,0,0,0
stale-soft,0,3,14,12,0.404304296,0,0,0
stale-soft,0,3,15,20,0.398861945,0,0,0
stale-soft,0,3,16,27,0.389156938,0,0,0
stale-soft,0,3,17,7,0.385103971,0,0,0
stale-soft,0,3,18,8,0.381290376,0,0,0
stale-soft,0,3,19,19,0.378934562,0,0,0
stale-soft,0,4,0,26,0.677617729,1,0.397916079,0
stale-soft,0,4,1,28,0.650232375,1,0.230104506,0
stale-soft,0,4,2,0,0.647873998,1,0.219502971,0
stale-soft,0,4,3,13,0.601537347,1,0.086889118,0
stale-soft,0,4,4,2,0.587474823,1,0.0655873418,0
stale-soft,0,4,5,6,0.567844272,0,0,0
stale-soft,0,4,6,5,0.421480089,0,0,0
stale-soft,0,4,7,1,0.402819425,0,0,0
stale-soft,0,4,8,24,0.394644916,0,0,0
stale-soft,0,4,9,14,0.370331973,0,0,0
stale-soft,0,4,10,15,0.345359355,0,0,0
stale-soft,0,4,11,20,0.343450576,0,0,0
stale-soft,0,4,12,12,0.325608611,0,0,0
stale-soft,0,4,13,11,0.319392741,0,0,0
stale-soft,0,4,14,19,0.314213991,0,0,0
stale-soft,0,4,15,22,0.311259627,0,0,0
stale-soft,0,4,16,7,0.311011016,0,0,0
stale-soft,0,4,17,27,0.309918523,0,0,0
stale-soft,0,4,18,3,0.306425542,0,0,0
stale-soft,0,4,19,18,0.301928043,0,0,0
stale-soft,0,5,0,9,0.839467525,1,0.291004956,0
stale-soft,0,5,1,17,0.82680583,1,0.22590293,0
stale-soft,0,5,2,29,0.802743316,1,0.139610529,0
stale-soft,0,5,3,4,0.794407845,1,0.118172646,0
stale-soft,0,5,4,12,0.789434314,1,0.106983609,0
stale-soft,0,5,5,11,0.717786968,1,0.0255268142,0
stale-soft,0,5,6,8,0.703495502,1,0.0191806089,0
stale-soft,0,5,7,19,0.69480896,1,0.0161217451,0
stale-soft,0,5,8,15,0.690427423,1,0.014769109,0
stale-soft,0,5,9,14,0.686478376,1,0.0136475135,0
stale-soft,0,5,10,3,0.675600588,1,0.0109791858,0
stale-soft,0,5,11,27,0.642468333,1,0.00565961516,0
stale-soft,0,5,12,21,0.612227142,1,0.00309111807,0
stale-soft,0,5,13,18,0.608606815,1,0.00287521095,0
stale-soft,0,5,14,10,0.602687657,1,0.0025542092,0
stale-soft,0,5,15,20,0.596159041,1,0.0022415563,0
stale-soft,0,5,16,30,0.581697702,1,0.00167857273,0
stale-soft,0,5,17,25,0.569623351,0,0,0
stale-soft,0,5,18,22,0.500189602,0,0,0
stale-soft,0,5,19,1,0.498204887,0,0,0
stale-soft,0,6,0,29,0.852924228,1,0.33283785,0
stale-soft,0,6,1,9,0.838242769,1,0.24814786,0
stale-soft,0,6,2,17,0.825035989,1,0.190545201,0
stale-soft,0,6,3,12,0.779419661,1,0.0765208751,0
stale-soft,0,6,4,11,0.719845533,1,0.0232447907,0
stale-soft,0,6,5,4,0.717672825,1,0.0222563408,0
stale-soft,0,6,6,27,0.71151787,1,0.0196785182,0
stale-soft,0,6,7,14,0.705442011,1,0.0174268205,0
stale-soft,0,6,8,19,0.703102827,1,0.0166303106,0
stale-soft,0,6,9,8,0.694566309,1,0.0140201617,0
stale-soft,0,6,10,15,0.692774415,1,0.0135266008,0
stale-soft,0,6,11,21,0.673547387,1,0.0092084147,0
stale-soft,0,6,12,3,0.650713801,1,0.00583250122,0
stale-soft,0,6,13,10,0.642810941,1,0.00497979484,0
stale-soft,0,6,14,18,0.621867955,1,0.00327569246,0
stale-soft,0,6,15,30,0.593791962,1,0.00186826405,0
stale-soft,0,6,16,25,0.5643273,0,0,0
stale-soft,0,6,17,20,0.541832924,0,0,0
stale-soft,0,6,18,22,0.526537001,0,0,0
stale-soft,0,6,19,1,0.517996311,0,0,0
stale-soft,0,7,0,1,0.651849151,1,0.175106034,0
stale-soft,0,7,1,24,0.641370595,1,0.141999111,0
stale-soft,0,7,2,3,0.634842396,1,0.1246185,0
stale-soft,0,7,3,29,0.625596225,1,0.103578933,0
stale-soft,0,7,4,15,0.623720407,1,0.0997649878,0
stale-soft,0,7,5,21,0.623597503,1,0.0995200127,0
stale-soft,0,7,6,30,0.61711514,1,0.0874188989,0
stale-soft,0,7,7,14,0.598285377,1,0.0599863455,0
stale-soft,0,7,8,27,0.597428381,1,0.0589669161,0
stale-soft,0,7,9,11,0.588211656,1,0.0490402691,0
stale-soft,0,7,10,10,0.556346953,0,0,0
stale-soft,0,7,11,8,0.547520578,0,0,0
stale-soft,0,7,12,17,0.547368646,0,0,0
stale-soft,0,7,13,25,0.543280244,0,0,0
stale-soft,0,7,14,4,0.540825009,0,0,0
stale-soft,0,7,15,18,0.535766006,0,0,0
stale-soft,0,7,16,20,0.535620749,0,0,0
stale-soft,0,7,17,19,0.531321049,0,0,0
stale-soft,0,7,18,12,0.522786975,0,0,0
stale-soft,0,7,19,9,0.519009352,0,0,0
stale-soft,0,8,0,29,0.896051288,1,0.662625194,0
stale-soft,0,8,1,8,0.767185569,1,0.0503447428,0
stale-soft,0,8,2,18,0.763241947,1,0.0465265214,0
stale-soft,0,8,3,11,0.750804663,1,0.0362803601,0
stale-soft,0,8,4,19,0.74695313,1,0.0335905701,0
stale-soft,0,8,5,9,0.746267438,1,0.0331330597,0
stale-soft,0,8,6,21,0.723261833,1,0.0209140237,0
stale-soft,0,8,7,14,0.723101139,1,0.0208469164,0
stale-soft,0,8,8,27,0.720720768,1,0.019877702,0
stale-soft,0,8,9,3,0.707010388,1,0.0151105104,0
stale-soft,0,8,10,17,0.701890588,1,0.0136398347,0
stale-soft,0,8,11,12,0.698565722,1,0.0127623277,0
stale-soft,0,8,12,15,0.697915852,1,0.0125975218,0
stale-soft,0,8,13,10,0.66325736,1,0.00629861979,0
stale-soft,0,8,14,30,0.653615236,1,0.00519391662,0
stale-soft,0,8,15,4,0.632651925,1,0.00341514964,0
stale-soft,0,8,16,16,0.609352648,1,0.00214306288,0
stale-soft,0,8,17,1,0.601719618,1,0.00183965056,0
stale-soft,0,8,18,25,0.59152627,1,0.00150036532,0
stale-soft,0,8,19,20,0.586614728,1,0.00135998998,0
stale-soft,0,9,0,29,0.901426554,1,0.635662198,0
stale-soft,0,9,1,19,0.833229542,1,0.16250813,0
stale-soft,0,9,2,12,0.768986225,1,0.0449639782,0
stale-soft,0,9,3,9,0.760341287,1,0.0378247015,0
stale-soft,0,9,4,18,0.743140221,1,0.0268144682,0
stale-soft,0,9,5,14,0.736063004,1,0.0232754052,0
stale-soft,0,9,6,17,0.732386708,1,0.0216254499,0
stale-soft,0,9,7,11,0.712533355,1,0.0145385517,0
stale-soft,0,9,8,8,0.708006144,1,0.0132800117,0
stale-soft,0,9,9,10,0.657553315,1,0.00484139565,0
stale-soft,0,9,10,15,0.648307741,1,0.0040240637,0
stale-soft,0,9,11,3,0.641999066,1,0.00354705704,0
stale-soft,0,9,12,27,0.63032186,1,0.00280828495,0
stale-soft,0,9,13,4,0.629224479,1,0.00274732313,0
stale-soft,0,9,14,21,0.600246787,1,0.00153890694,0
stale-soft,0,9,15,30,0.570680022,0,0,0
stale-soft,0,9,16,16,0.540605545,0,0,0
stale-soft,0,9,17,20,0.52787739,0,0,0
stale-soft,0,9,18,25,0.525557458,0,0,0
stale-soft,0,9,19,1,0.521536231,0,0,0
stale-soft,0,11,0,11,0.774197102,1,0.369884253,0
stale-soft,0,11,1,10,0.734916389,1,0.168607935,0
stale-soft,0,11,2,29,0.72101146,1,0.127673611,0
stale-soft,0,11,3,14,0.699043989,1,0.0822799876,0
stale-soft,0,11,4,8,0.680088639,1,0.0563183464,0
stale-soft,0,11,5,19,0.670520186,1,0.0465092547,0
stale-soft,0,11,6,15,0.67002809,1,0.0460537598,0
stale-soft,0,11,7,20,0.651670516,1,0.031901665,0
stale-soft,0,11,8,21,0.642699361,1,0.0266618803,0
stale-soft,0,11,9,27,0.609727144,1,0.0137878936,0
