query_id,width,truth_in_set,truth_in_alts,deployed_correct,P-assert,P-uniform,P-alt-uniform
pairD_oneshot_s0:e7:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p2,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p3,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p10,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p12,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p15,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p16,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e7:p17,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p18,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p27,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p33,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p39,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p44,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p47,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p51,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p54,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e7:p55,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p58,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e7:p60,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e7:p61,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e7:p66,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e7:p71,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e7:p87,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e7:p89,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e8:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p2,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p3,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p10,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p12,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p15,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p16,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e8:p17,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p18,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p27,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p33,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p39,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p44,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p47,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p51,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p54,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e8:p55,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e8:p58,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e8:p61,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e8:p66,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e8:p71,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e8:p87,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e8:p89,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e9:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p2,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p3,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p10,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p15,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p16,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e9:p17,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p18,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p27,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p33,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p39,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p44,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p47,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p54,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p55,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e9:p58,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s0:e9:p61,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e9:p66,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e9:p71,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e9:p87,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e9:p89,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e10:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p2,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p3,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p10,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p15,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p16,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e10:p17,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p27,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p39,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p44,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p47,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p54,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p55,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p58,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p61,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e10:p66,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e10:p71,3,1,0,1,1.0,0.333333,0.0
pairD_oneshot_s0:e10:p87,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e10:p89,2,0,0,0,0.0,0.0,0.0
pairD_oneshot_s0:e11:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p2,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p3,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p10,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p15,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p16,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s0:e11:p17,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s0:e11:p27,2,1,1,0,0.0,0.5,1.0
